status	productId	score	productName	matchedTitle	imageUrl	sourceDoc
MATCH	62	100	Túi đựng phụ kiện Victor Hello Kitty BG-31KT A Trắng	Túi đựng phụ kiện Victor Hello Kitty BG-31KT A Trắng	/images/products/catalog/badminton/phu-kien-cau-long/tui-dung-phu-kien-victor-hello-kitty-bg-31kt-a-trang.png	Badminton\phu-kien-cau-long\phụ kiện cầu lông.docx
MATCH	63	100	Ống cầu lông Phương Hương	Ống cầu lông Phương Hương	/images/products/catalog/badminton/phu-kien-cau-long/ong-cau-long-phuong-huong.png	Badminton\phu-kien-cau-long\phụ kiện cầu lông.docx
MATCH	64	100	Túi phụ kiện Lining ABJK006-1 chính hãng	Túi phụ kiện Lining ABJK006-1 chính hãng	/images/products/catalog/badminton/phu-kien-cau-long/tui-phu-kien-lining-abjk006-1-chinh-hang.png	Badminton\phu-kien-cau-long\phụ kiện cầu lông.docx
MATCH	65	100	Túi phụ kiện Lining ABJK006-3 chính hãng	Túi phụ kiện Lining ABJK006-3 chính hãng	/images/products/catalog/badminton/phu-kien-cau-long/tui-phu-kien-lining-abjk006-3-chinh-hang.png	Badminton\phu-kien-cau-long\phụ kiện cầu lông.docx
MATCH	66	100	Túi đựng phụ kiện Victor Doraemon BG1035DRM F Xanh	Túi đựng phụ kiện Victor Doraemon BG1035DRM F Xanh	/images/products/catalog/badminton/phu-kien-cau-long/tui-dung-phu-kien-victor-doraemon-bg1035drm-f-xanh.png	Badminton\phu-kien-cau-long\phụ kiện cầu lông.docx
MATCH	67	100	Túi đựng phụ kiện Yonex SRFDSB03L - Xám	Túi đựng phụ kiện Yonex SRFDSB03L - Xám	/images/products/catalog/badminton/phu-kien-cau-long/tui-dung-phu-kien-yonex-srfdsb03l-xam.png	Badminton\phu-kien-cau-long\phụ kiện cầu lông.docx
MATCH	68	100	Túi đựng phụ kiện Yonex SRFDSB03L - Đen	Túi đựng phụ kiện Yonex SRFDSB03L - Đen	/images/products/catalog/badminton/phu-kien-cau-long/tui-dung-phu-kien-yonex-srfdsb03l-den.png	Badminton\phu-kien-cau-long\phụ kiện cầu lông.docx
MATCH	69	100	Túi đựng phụ kiện Victor Hello Kitty BG-32KT F Navy	Túi đựng phụ kiện Victor Hello Kitty BG-32KT F Navy	/images/products/catalog/badminton/phu-kien-cau-long/tui-dung-phu-kien-victor-hello-kitty-bg-32kt-f-navy.png	Badminton\phu-kien-cau-long\phụ kiện cầu lông.docx
MATCH	70	100	Túi vợt cầu lông Adidas 360 B7 Tournament - Xám	Túi vợt cầu lông Adidas 360 B7 Tournament - Xám	/images/products/catalog/badminton/phu-kien-cau-long/tui-vot-cau-long-adidas-360-b7-tournament-xam.png	Badminton\phu-kien-cau-long\phụ kiện cầu lông.docx
MATCH	71	100	Túi cầu lông Adidas X-Symbolic 6 Racket - Đen Vàng	Túi cầu lông Adidas X-Symbolic 6 Racket - Đen Vàng	/images/products/catalog/badminton/phu-kien-cau-long/tui-cau-long-adidas-x-symbolic-6-racket-den-vang.png	Badminton\phu-kien-cau-long\phụ kiện cầu lông.docx
MATCH	72	100	Giày Đá Bóng Sân Cỏ Nhân Tạo Nam Mizuno Morelia Neo Iv Pro As - Trắng	Giày Đá Bóng Sân Cỏ Nhân Tạo Nam Mizuno Morelia Neo Iv Pro As - Trắng	/images/products/catalog/football/giay-da-bong/giay/giay-da-bong-san-co-nhan-tao-nam-mizuno-morelia-neo-iv-pro-as-trang.png	FootBall\giay-da-bong\giày\giày.docx
MATCH	73	96	Giày Đá Bóng Sân Cỏ Nhân Tạo Nam Nike Zoovapor 16 Academy	Giày Đá Bóng Sân Cỏ Nhân Tạo Nam Nike Zoovapor 16 Academy - Hồng	/images/products/catalog/football/giay-da-bong/giay/giay-da-bong-san-co-nhan-tao-nam-nike-zoovapor-16-academy-hong.png	FootBall\giay-da-bong\giày\giày.docx
MATCH	74	96	Giày Đá Bóng Sân Cỏ Nhân Tạo Nam Nike Mercurial Superfly 10 Academy Tf	Giày Đá Bóng Sân Cỏ Nhân Tạo Nam Nike Mercurial Superfly 10 Academy Tf - Xanh Dương	/images/products/catalog/football/giay-da-bong/giay/giay-da-bong-san-co-nhan-tao-nam-nike-mercurial-superfly-10-academy-tf-xanh-duong.png	FootBall\giay-da-bong\giày\giày.docx
MATCH	75	96	Giày Đá Bóng Sân Cỏ Nhân Tạo Nam Adidas F50 Club	Giày Đá Bóng Sân Cỏ Nhân Tạo Nam Adidas F50 Club - Xanh Dương	/images/products/catalog/football/giay-da-bong/giay/giay-da-bong-san-co-nhan-tao-nam-adidas-f50-club-xanh-duong.png	FootBall\giay-da-bong\giày\giày.docx
MATCH	76	96	Giày Đá Bóng Sân Cỏ Nhân Tạo Nam Adidas Predator League Fold-Over Tongue	Giày Đá Bóng Sân Cỏ Nhân Tạo Nam Adidas Predator League Fold-Over Tongue - Đỏ	/images/products/catalog/football/giay-da-bong/giay/giay-da-bong-san-co-nhan-tao-nam-adidas-predator-league-fold-over-tongue-do.png	FootBall\giay-da-bong\giày\giày.docx
MATCH	77	96	Giày Đá Bóng Sân Cỏ Nhân Tạo Nam Nike Legend 10 Academy	Giày Đá Bóng Sân Cỏ Nhân Tạo Nam Nike Legend 10 Academy - Đen	/images/products/catalog/football/giay-da-bong/giay/giay-da-bong-san-co-nhan-tao-nam-nike-legend-10-academy-den.png	FootBall\giay-da-bong\giày\giày.docx
MATCH	78	96	Giày Đá Bóng Dành Cho Sân Cỏ Tự Nhiên Nam Nike Tiempo Legend 10 Academy	Giày Đá Bóng Dành Cho Sân Cỏ Tự Nhiên Nam Nike Tiempo Legend 10 Academy - Xám	/images/products/catalog/football/giay-da-bong/giay/giay-da-bong-danh-cho-san-co-tu-nhien-nam-nike-tiempo-legend-10-academy-xam.png	FootBall\giay-da-bong\giày\giày.docx
MATCH	79	96	Giày Đá Bóng Dành Cho Sân Cỏ Tự Nhiên Nam Nike Phantom Gx Ii Academy Erling Haaland Fg	Giày Đá Bóng Dành Cho Sân Cỏ Tự Nhiên Nam Nike Phantom Gx Ii Academy Erling Haaland Fg - Xanh Navy	/images/products/catalog/football/giay-da-bong/giay/giay-da-bong-danh-cho-san-co-tu-nhien-nam-nike-phantom-gx-ii-academy-erling-haaland-fg-xan.png	FootBall\giay-da-bong\giày\giày.docx
MATCH	80	96	Giày Đá Bóng Sân Cỏ Nhân Tạo Nam Puma Ultra 6 Match Tt	Giày Đá Bóng Sân Cỏ Nhân Tạo Nam Puma Ultra 6 Match Tt - Xanh Lá	/images/products/catalog/football/giay-da-bong/giay/giay-da-bong-san-co-nhan-tao-nam-puma-ultra-6-match-tt-xanh-la.png	FootBall\giay-da-bong\giày\giày.docx
MATCH	81	96	Giày Đá Bóng Sân Cỏ Nhân Tạo Nam Puma Ultra 6 Match Tt	Giày Đá Bóng Sân Cỏ Nhân Tạo Nam Puma Ultra 6 Match Tt - Xanh Dương	/images/products/catalog/football/giay-da-bong/giay/giay-da-bong-san-co-nhan-tao-nam-puma-ultra-6-match-tt-xanh-duong.png	FootBall\giay-da-bong\giày\giày.docx
MATCH	102	100	Quả bóng đá adidas Tiro Pro Unisex - HT2428	Quả bóng đá adidas Tiro Pro Unisex - HT2428	/images/products/catalog/football/bong-da/bong/qua-bong-da-adidas-tiro-pro-unisex-ht2428.png	FootBall\bong-da\bóng\quả bóng.docx
MATCH	103	100	Quả bóng đá adidas FIFA World Cup 26™ Unisex - JD8045	Quả bóng đá adidas FIFA World Cup 26™ Unisex - JD8045	/images/products/catalog/football/bong-da/bong/qua-bong-da-adidas-fifa-world-cup-26tm-unisex-jd8045.png	FootBall\bong-da\bóng\quả bóng.docx
MATCH	104	100	Quả bóng đá mini adidas Trionda FIFA World Cup 26™ - JD8034	Quả bóng đá mini adidas Trionda FIFA World Cup 26™ - JD8034	/images/products/catalog/football/bong-da/bong/qua-bong-da-mini-adidas-trionda-fifa-world-cup-26tm-jd8034.png	FootBall\bong-da\bóng\quả bóng.docx
MATCH	105	100	Quả bóng đá adidas FIFA Club World Cup 25 Pro Unisex - JE8770	Quả bóng đá adidas FIFA Club World Cup 25 Pro Unisex - JE8770	/images/products/catalog/football/bong-da/bong/qua-bong-da-adidas-fifa-club-world-cup-25-pro-unisex-je8770.png	FootBall\bong-da\bóng\quả bóng.docx
MATCH	106	100	Quả bóng đá adidas Mundial de Clubes FIFA 25 Training Unisex - JD3826	Quả bóng đá adidas Mundial de Clubes FIFA 25 Training Unisex - JD3826	/images/products/catalog/football/bong-da/bong/qua-bong-da-adidas-mundial-de-clubes-fifa-25-training-unisex-jd3826.png	FootBall\bong-da\bóng\quả bóng.docx
MATCH	107	100	Quả bóng đá adidas UCL Pro Unisex - JH1279	Quả bóng đá adidas UCL Pro Unisex - JH1279	/images/products/catalog/football/bong-da/bong/qua-bong-da-adidas-ucl-pro-unisex-jh1279.png	FootBall\bong-da\bóng\quả bóng.docx
MATCH	108	100	Áo Thun Nam Nike Court Victory Dri-Fit Tennis - Xanh Lá	Áo Thun Nam Nike Court Victory Dri-Fit Tennis - Xanh Lá	/images/products/catalog/pickleball/quan-ao-pickleball/ao-thun-nam-nike-court-victory-dri-fit-tennis-xanh-la.png	PickleBall\quan-ao-pickleball\Quần áo pickleball.docx
