productTitle	imageUrl	sourceDoc	sourceImage
Giày Đá Bóng Sân Cỏ Nhân Tạo Nam Puma Ultra 6 Match Tt - Xanh Lá	/images/products/catalog/football/giay-da-bong/giay/giay-da-bong-san-co-nhan-tao-nam-puma-ultra-6-match-tt-xanh-la.png	FootBall\giay-da-bong\giày\giày.docx	media/image2.png
Giày Đá Bóng Sân Cỏ Nhân Tạo Nam Puma Ultra 6 Match Tt - Xanh Dương	/images/products/catalog/football/giay-da-bong/giay/giay-da-bong-san-co-nhan-tao-nam-puma-ultra-6-match-tt-xanh-duong.png	FootBall\giay-da-bong\giày\giày.docx	media/image9.png
Găng Tay Adidas Predator Training Goalkeeper - Vàng Chanh	/images/products/catalog/football/phu-kien-bong-da/phu-kien-khac/gang-tay-adidas-predator-training-goalkeeper-vang-chanh.png	FootBall\phu-kien-bong-da\phụ kiện khác\Phụ kiện.docx	media/image6.png
Găng Tay Thủ Môn Adidas Copa Club - Be	/images/products/catalog/football/phu-kien-bong-da/phu-kien-khac/gang-tay-thu-mon-adidas-copa-club-be.png	FootBall\phu-kien-bong-da\phụ kiện khác\Phụ kiện.docx	media/image4.png
Găng Tay Adidas Predator Training Goalkeeper - Xanh Dương	/images/products/catalog/football/phu-kien-bong-da/phu-kien-khac/gang-tay-adidas-predator-training-goalkeeper-xanh-duong.png	FootBall\phu-kien-bong-da\phụ kiện khác\Phụ kiện.docx	media/image7.png
Găng Tay Thủ Môn Adidas Predator - Hồng	/images/products/catalog/football/phu-kien-bong-da/phu-kien-khac/gang-tay-thu-mon-adidas-predator-hong.png	FootBall\phu-kien-bong-da\phụ kiện khác\Phụ kiện.docx	media/image2.png
Ốp Bảo Vệ Ống Chân Adidas Tiro Club - Trắng	/images/products/catalog/football/phu-kien-bong-da/phu-kien-khac/op-bao-ve-ong-chan-adidas-tiro-club-trang.png	FootBall\phu-kien-bong-da\phụ kiện khác\Phụ kiện.docx	media/image5.png
Ốp Bảo Vệ Ống Chân adidas TIRO Training Unisex IP3998	/images/products/catalog/football/phu-kien-bong-da/phu-kien-khac/op-bao-ve-ong-chan-adidas-tiro-training-unisex-ip3998.png	FootBall\phu-kien-bong-da\phụ kiện khác\Phụ kiện.docx	media/image3.png
Ốp Bảo Vệ Ống Chân adidas TIRO Training Unisex IP3998	/images/products/catalog/football/phu-kien-bong-da/phu-kien-khac/op-bao-ve-ong-chan-adidas-tiro-training-unisex-ip3998-07.png	FootBall\phu-kien-bong-da\phụ kiện khác\Phụ kiện.docx	media/image1.png
Áo Đá Bóng Nam Nike Dri-Fit England Stadium Sân Nhà 26 - Trắng	/images/products/catalog/football/quan-ao-da-da-bong/quan-ao/ao-da-bong-nam-nike-dri-fit-england-stadium-san-nha-26-trang.png	FootBall\quan-ao-da-da-bong\quần áo\quần áo.docx	media/image3.png
Áo Đá Bóng Sân Nhà Nam Adidas Germany 26 Authentic - Trắng	/images/products/catalog/football/quan-ao-da-da-bong/quan-ao/ao-da-bong-san-nha-nam-adidas-germany-26-authentic-trang.png	FootBall\quan-ao-da-da-bong\quần áo\quần áo.docx	media/image5.png
Áo Đá Bóng Sân Khách Nam Adidas Argentina 26 Authentic - Xanh Dương	/images/products/catalog/football/quan-ao-da-da-bong/quan-ao/ao-da-bong-san-khach-nam-adidas-argentina-26-authentic-xanh-duong.png	FootBall\quan-ao-da-da-bong\quần áo\quần áo.docx	media/image6.png
Áo Đá Bóng Sân Khách Nam Adidas Italy 26 - Xanh Dương	/images/products/catalog/football/quan-ao-da-da-bong/quan-ao/ao-da-bong-san-khach-nam-adidas-italy-26-xanh-duong.png	FootBall\quan-ao-da-da-bong\quần áo\quần áo.docx	media/image9.png
Áo Đá Bóng Sân Khách Nam Adidas Japan 26 - Be	/images/products/catalog/football/quan-ao-da-da-bong/quan-ao/ao-da-bong-san-khach-nam-adidas-japan-26-be.png	FootBall\quan-ao-da-da-bong\quần áo\quần áo.docx	media/image4.png
Áo Đá Bóng Sân Nhà Nam Nike Paris Saint-Germain 2025/26 - Xanh Navy	/images/products/catalog/football/quan-ao-da-da-bong/quan-ao/ao-da-bong-san-nha-nam-nike-paris-saint-germain-2025-26-xanh-navy.png	FootBall\quan-ao-da-da-bong\quần áo\quần áo.docx	media/image1.png
Áo Đá Bóng Nam Adidas Fc Bayern Sân Nhà 21/22	/images/products/catalog/football/quan-ao-da-da-bong/quan-ao/ao-da-bong-nam-adidas-fc-bayern-san-nha-21-22.png	FootBall\quan-ao-da-da-bong\quần áo\quần áo.docx	media/image2.png
Áo Đá Bóng Nam Adidas Belgium Sân Nhà 22	/images/products/catalog/football/quan-ao-da-da-bong/quan-ao/ao-da-bong-nam-adidas-belgium-san-nha-22.png	FootBall\quan-ao-da-da-bong\quần áo\quần áo.docx	media/image10.png
Áo Đá Bóng Sân Nhà Nam Adidas Spain 26 - Đỏ	/images/products/catalog/football/quan-ao-da-da-bong/quan-ao/ao-da-bong-san-nha-nam-adidas-spain-26-do.png	FootBall\quan-ao-da-da-bong\quần áo\quần áo.docx	media/image8.png
Áo Đá Bóng Nam Adidas Manchester United Sân Nhà 25/26 - Đỏ	/images/products/catalog/football/quan-ao-da-da-bong/quan-ao/ao-da-bong-nam-adidas-manchester-united-san-nha-25-26-do.png	FootBall\quan-ao-da-da-bong\quần áo\quần áo.docx	media/image7.png
Giày Pickleball Nam JOOLA Bainbridge Atlantic - Xanh Dương	/images/products/catalog/pickleball/giay-pickleball/giay-pickleball-nam-joola-bainbridge-atlantic-xanh-duong.png	PickleBall\giay-pickleball\giày pickleball.docx	media/image5.png
